City_ID,name,lat,lon,temp_max,humidity,all,speed,country,dt
0,cabedelo,-6.9811,-34.8339,304.52,67,52,4.75,BR,1709743133
1,cururupu,-1.8283,-44.8683,301.3,86,76,2.43,BR,1709743134
2,hamilton,39.1834,-84.5333,288.84,97,100,5.14,US,1709742840
3,port-aux-francais,-49.35,70.2167,280.23,85,97,10.05,TF,1709743136
4,enewetak,11.3474,162.3373,299.44,80,47,10.84,MH,1709743140
5,grytviken,-54.2811,-36.5092,280.37,50,94,1.33,GS,1709743142
6,port elizabeth,-33.918,25.5701,293.76,79,20,3.6,ZA,1709743144
7,isafjordur,66.0755,-23.124,283.17,50,40,4.12,IS,1709743146
8,ocean city,39.2776,-74.5746,282.29,93,100,1.79,US,1709743147
9,kangasniemi,61.9936,26.6479,271.16,98,52,1.4,FI,1709742996
10,xichang,27.8964,102.2634,281.64,65,1,1.99,CN,1709743149
11,pisco,-13.7,-76.2167,299.83,69,0,3.6,PE,1709743128
12,lata,40.1629,-8.3327,289.3,57,100,3.35,PT,1709743151
13,blackmans bay,-43.0167,147.3167,287.22,65,49,3.32,AU,1709742997
14,timbuktu,16.7735,-3.0074,307.51,5,8,5.68,ML,1709743153
15,vilyuchinsk,52.9306,158.4028,260.33,86,20,4.22,RU,1709743154
16,atafu village,-8.5421,-172.5159,301.96,75,10,3.59,TK,1709743156
17,volchansk,59.9378,60.081,252.87,99,100,0.97,RU,1709743157
18,chonchi,-42.6128,-73.8092,290.44,50,55,0.33,CL,1709743158
19,utrik,11.2278,169.8474,299.16,78,100,11.64,MH,1709743159
20,las heras,-46.5419,-68.9359,289.69,24,30,6.27,AR,1709743014
21,tolanaro,-25.0319,46.9987,297.19,94,75,7.2,MG,1709743084
22,sao francisco do sul,-26.2433,-48.6381,295.1,94,75,1.54,BR,1709743162
23,tangalle,6.024,80.7911,298.75,86,100,1.95,LK,1709743163
24,ushuaia,-54.8,-68.3,281.94,87,100,4.12,AR,1709742880
25,noshiro,40.2039,140.0242,272.54,77,70,4.07,JP,1709743166
26,waitangi,-43.9535,-176.5597,284.72,83,98,6.11,NZ,1709743166
27,ribeira grande,38.5167,-28.7,286.91,82,40,11.32,PT,1709743168
28,college,64.8569,-147.8028,262.12,84,75,2.06,US,1709743169
29,uturoa,-16.7333,-151.4333,300.91,79,99,4.38,PF,1709743170
30,west island,-12.1568,96.8225,300.14,94,100,5.14,CC,1709743016
31,port mathurin,-19.6833,63.4167,299.46,76,32,10.36,MU,1709743172
32,martapura,-3.4167,114.85,300.2,100,100,1.54,ID,1709743055
33,lushun,38.8,121.2667,270.27,48,20,3.95,CN,1709743173
34,yellowknife,62.456,-114.3525,254.44,78,100,2.57,CA,1709743174
35,alesund,62.4723,6.1549,280.56,70,0,1.54,NO,1709743028
36,albany,42.6001,-73.9662,284.91,92,100,0.89,US,1709742999
37,ulladulla,-35.35,150.4667,293.23,77,26,5.14,AU,1709743177
38,melekeok village,7.4957,134.6367,297.46,88,75,2.57,PW,1709743178
39,iskateley,67.6803,53.1512,264.27,95,100,2.68,RU,1709743039
40,kyzyl-suu,42.3414,78.0056,269.59,67,100,3.78,KG,1709743179
41,hawaiian paradise park,19.5933,-154.9731,292.06,96,100,3.09,US,1709743180
42,maumere,-8.6199,122.2111,300.86,83,100,1.78,ID,1709743181
43,nizhnyaya tavda,57.6731,66.1725,259.22,96,100,2.33,RU,1709743182
44,puerto armuelles,8.2833,-82.8667,305.14,61,66,0.45,PA,1709743183
45,invercargill,-46.4,168.35,283.16,97,84,1.79,NZ,1709743184
46,ghanzi,-21.5667,21.7833,300.15,35,84,5.09,BW,1709743184
47,margaret river,-33.95,115.0667,293.53,51,7,5.12,AU,1709743185
48,puerto ayora,-0.7393,-90.3518,302.13,92,32,2.68,EC,1709743186
49,wailua homesteads,22.0669,-159.378,294.12,71,100,9.77,US,1709743187
50,puerto natales,-51.7236,-72.4875,287.4,44,75,8.75,CL,1709742892
51,papatowai,-46.5619,169.4708,282.78,93,54,1.82,NZ,1709743189
52,toliara,-23.35,43.6667,299.12,93,100,7.0,MG,1709743190
53,tacna,-18.0056,-70.2483,298.26,53,20,3.6,PE,1709743191
54,petropavlovsk-kamchatsky,53.0452,158.6483,259.51,91,0,5.81,RU,1709743192
55,pitimbu,-7.4706,-34.8086,304.48,65,58,4.38,BR,1709743118
56,nagqu,31.5,92.0,267.27,26,78,2.79,CN,1709742970
57,port blair,11.6667,92.75,298.17,88,40,1.03,IN,1709743177
58,rantauprapat,2.1,99.8333,297.35,97,99,1.1,ID,1709743195
59,lebu,-37.6167,-73.65,288.55,69,99,7.89,CL,1709743196
60,mata-utu,-13.2816,-176.1745,301.42,78,57,5.14,WF,1709743197
61,ust-nera,64.5667,143.2,247.63,100,98,0.97,RU,1709743198
62,hadibu,12.65,54.0333,299.84,82,34,2.64,YE,1709743199
63,adamstown,-25.066,-130.1015,297.34,75,9,6.3,PN,1709743200
64,sale,34.0389,-6.8166,292.39,68,33,4.12,MA,1709743201
65,north platte,41.1239,-100.7654,283.29,41,20,7.72,US,1709743202
66,bethel,41.3712,-73.414,283.51,91,100,2.57,US,1709743203
67,san patricio,28.017,-97.5169,297.51,55,62,3.98,US,1709743081
68,bredasdorp,-34.5322,20.0403,291.84,66,100,4.63,ZA,1709743205
69,sitka,57.0531,-135.33,275.09,64,100,8.75,US,1709743107
70,bilibino,68.0546,166.4372,241.2,100,88,0.93,RU,1709743206
